M,K,N,It1
256,256,256,3797.00
256,256,512,3176.00
M,K,N,It1
256,256,256,2107.00
256,256,512,2088.00
256,256,768,2137
256,256,1024,2140.00
256,256,1280,
256,256,1536,2200
256,256,1792,
256,256,2048,2261.00
256,256,2304,2810
256,256,2560,
256,256,2816,
256,256,3072,2324
256,256,3328,
M,K,N,It1
256,256,256,2088.00
M,K,N,It1
256,256,256,2076.00
256,256,512,3231.00
256,256,768,2207
256,256,1024,2109.00
256,256,1280,
256,256,1536,2183
256,256,1792,
256,256,2048,2215.00
256,256,2304,2308
256,256,2560,
256,256,2816,
256,256,3072,2356
256,256,3328,
256,256,3584,
256,256,3840,2455
256,256,4096,2410.00
256,512,256,2106.00
256,512,512,3249.00
256,512,768,2246
256,512,1024,2220.00
256,512,1280,
256,512,1536,2350
256,512,1792,
256,512,2048,2394.00
256,512,2304,2577
256,512,2560,
256,512,2816,
256,512,3072,2682
256,512,3328,
256,512,3584,
256,512,3840,2881
256,512,4096,2896.00
256,768,256,2144.00
256,768,512,2857.00
256,768,768,2242
256,768,1024,2285.00
256,768,1280,
256,768,1536,2435
256,768,1792,
256,768,2048,2699.00
256,768,2304,2823
256,768,2560,
256,768,2816,
256,768,3072,2975
256,768,3328,
256,768,3584,
256,768,3840,3257
256,768,4096,3156.00
256,1024,256,2158.00
256,1024,512,2334.00
256,1024,768,2364
256,1024,1024,2452.00
256,1024,1280,
256,1024,1536,2691
256,1024,1792,
256,1024,2048,2993.00
256,1024,2304,3038
256,1024,2560,
256,1024,2816,
256,1024,3072,3280
256,1024,3328,
256,1024,3584,
256,1024,3840,3584
256,1024,4096,
256,1280,256,2199.00
256,1280,512,2301.00
256,1280,768,3364
256,1280,1024,2550.00
256,1280,1280,
256,1280,1536,2834
256,1280,1792,
256,1280,2048,3109.00
256,1280,2304,3359
256,1280,2560,
256,1280,2816,
256,1280,3072,3472
256,1280,3328,
256,1280,3584,
256,1280,3840,
256,1280,4096,
256,1536,256,2205.00
256,1536,512,2275.00
256,1536,768,2566
256,1536,1024,2672.00
256,1536,1280,
256,1536,1536,3013
256,1536,1792,
256,1536,2048,3284.00
256,1536,2304,
256,1536,2560,
256,1536,2816,
256,1536,3072,
256,1536,3328,
256,1536,3584,
256,1536,3840,
256,1536,4096,
256,1792,256,2217.00
256,1792,512,2381.00
256,1792,768,2621
256,1792,1024,2788.00
256,1792,1280,
256,1792,1536,3211
256,1792,1792,
256,1792,2048,3416.00
256,1792,2304,3663
256,1792,2560,
256,1792,2816,
256,1792,3072,
256,1792,3328,
256,1792,3584,
256,1792,3840,
256,1792,4096,
256,2048,256,2239.00
256,2048,512,2487.00
256,2048,768,3463
256,2048,1024,2905.00
256,2048,1280,
256,2048,1536,3367
256,2048,1792,
256,2048,2048,
256,2048,2304,
256,2048,2560,
256,2048,2816,
256,2048,3072,
256,2048,3328,
256,2048,3584,
256,2048,3840,
256,2048,4096,
256,2304,256,2350.00
256,2304,512,2583.00
256,2304,768,2724
256,2304,1024,2999.00
256,2304,1280,
256,2304,1536,3413
256,2304,1792,
256,2304,2048,
256,2304,2304,
256,2304,2560,
256,2304,2816,
256,2304,3072,
256,2304,3328,
256,2304,3584,
256,2304,3840,
256,2304,4096,
256,2560,256,2230.00
256,2560,512,2602.00
256,2560,768,2737
256,2560,1024,3136.00
256,2560,1280,
256,2560,1536,3448
256,2560,1792,
256,2560,2048,
256,2560,2304,
256,2560,2560,
256,2560,2816,
256,2560,3072,
256,2560,3328,
256,2560,3584,
256,2560,3840,
256,2560,4096,
256,2816,256,2305.00
256,2816,512,2646.00
256,2816,768,3832
256,2816,1024,3085.00
256,2816,1280,
256,2816,1536,
256,2816,1792,
256,2816,2048,
256,2816,2304,
256,2816,2560,
256,2816,2816,
256,2816,3072,
256,2816,3328,
256,2816,3584,
256,2816,3840,
256,2816,4096,
256,3072,256,2345.00
256,3072,512,2730.00
256,3072,768,3002
256,3072,1024,3239.00
256,3072,1280,
256,3072,1536,
256,3072,1792,
256,3072,2048,
256,3072,2304,
256,3072,2560,
256,3072,2816,
256,3072,3072,
256,3072,3328,
256,3072,3584,
256,3072,3840M,K,N,It1
256,256,256,2073.00
256,256,512,3646.00
256,256,768,2090
256,256,1024,2243.00
256,256,1280,
